action_id,incident_id,root_cause,corrective_action,responsible_department,action_start_date,action_end_date,action_status,recurrence_after_action
464,1201,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-12-14,2024-02-22,Completed,True
465,1206,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-12-20,2024-01-29,Completed,False
466,1208,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-12-16,2024-03-13,Completed,True
467,1209,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-12-16,2024-01-21,Completed,False
468,1210,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-12-22,2024-01-27,Completed,False
469,1212,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-12-20,2024-01-20,Completed,False
470,1216,Software logic flaw,Release a software update,Design Engineering,2023-12-19,2024-04-13,Completed,False
471,1217,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-12-20,2024-02-16,Completed,False
472,1218,Operator training gap,Add poka-yoke check at the assembly station,Quality Assurance,2023-12-19,2024-01-27,Completed,False
473,1220,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-12-19,2024-01-19,Completed,False
474,1222,Thermal design limitation,Redesign cooling and heat protection,Design Engineering,2023-12-29,2024-05-25,Completed,False
475,1223,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-12-26,2024-02-05,Completed,False
476,1228,Machine calibration drift,Recalibrate equipment and update process control plan,Quality Assurance,2023-12-25,2024-02-21,Completed,False
477,1231,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-12-22,2024-01-17,Completed,False
478,1235,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-12-24,2024-02-21,Completed,False
479,1236,Incorrect torque settings,Correct torque specification and add torque monitoring,Quality Assurance,2023-12-25,2024-01-14,Completed,False
480,1238,Intermittent fault not reproducible,Collect field data and repeat diagnostics,Quality Assurance,2023-12-21,2024-01-12,Completed,False
481,1240,Substandard raw material,Change material specification,Supplier Quality,2023-12-20,2024-03-15,Completed,False
482,1242,Thermal design limitation,Redesign cooling and heat protection,Design Engineering,2023-12-28,2024-04-29,Completed,False
483,1243,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-12-22,2024-02-28,Completed,False
484,1248,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-01-01,2024-03-10,Completed,False
485,1250,Operator training gap,Retrain operators and add in-line inspection,Production,2023-12-23,2024-01-07,Completed,True
486,1251,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2023-12-25,2024-02-13,Completed,False
487,1254,Substandard raw material,Change material specification,Supplier Quality,2023-12-28,2024-02-23,Completed,True
488,1255,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-12-26,2024-02-11,Completed,True
489,1257,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-12-30,2024-03-07,Completed,True
490,1258,Improper use by customer,Update owner manual and customer communication,Customer Service,2024-01-04,2024-01-17,Completed,False
491,1261,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-12-28,2024-02-06,Completed,True
492,1262,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-12-28,2024-02-04,Completed,False
493,1269,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-01-01,2024-02-26,Completed,False
494,1272,Operator training gap,Retrain operators and add in-line inspection,Production,2024-01-01,2024-02-22,Completed,False
495,1273,Insufficient process control,Introduce statistical process control on the line,Quality Assurance,2024-01-05,2024-02-09,Completed,True
496,1274,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-01-04,2024-02-07,Completed,False
497,1279,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-01-08,2024-03-11,Completed,True
498,1284,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2024-01-06,2024-03-18,Completed,False
499,1285,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-01-04,2024-02-26,Completed,False
500,1287,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-01-06,2024-03-11,Completed,False
501,1288,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2024-01-07,2024-02-15,Completed,False
502,1292,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-01-10,2024-02-23,Completed,False
503,1293,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-01-12,2024-02-20,Completed,False
504,1294,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-01-07,2024-02-12,Completed,True
505,1296,Substandard raw material,Change material specification,Quality Assurance,2024-01-11,2024-02-27,Completed,True
506,1300,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-01-13,2024-02-17,Completed,False
507,1302,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2024-01-20,2024-02-23,Completed,True
508,1304,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-01-14,2024-04-09,Completed,True
509,1305,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-01-11,2024-02-16,Completed,False
510,1306,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2024-01-13,2024-03-08,Completed,False
511,1308,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-01-14,2024-04-03,Completed,True
512,1309,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2024-01-17,2024-03-01,Completed,False
513,1310,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2024-01-14,2024-03-19,Completed,True
514,1315,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-01-18,2024-03-05,Completed,False
515,1319,Intermittent fault not reproducible,Collect field data and repeat diagnostics,Quality Assurance,2024-01-22,2024-02-27,Completed,False
516,1322,Substandard raw material,Change material specification,Quality Assurance,2024-01-20,2024-02-11,Completed,False
517,1324,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-01-22,2024-03-15,Completed,True
518,1327,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-01-24,2024-03-16,Completed,False
519,1328,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2024-01-16,2024-05-24,Completed,False
520,1334,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-01-20,2024-03-04,Completed,False
521,1337,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-01-24,2024-03-04,Completed,False
522,1340,Insufficient process control,Introduce statistical process control on the line,Production,2024-01-27,2024-02-20,Completed,False
523,1347,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2024-01-25,2024-03-04,Completed,False
524,1353,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-01-25,2024-03-31,Completed,False
525,1356,Non-approved modification,Add warning about modifications to warranty terms,Customer Service,2024-01-29,2024-02-05,Completed,False
526,1360,Operator training gap,Retrain operators and add in-line inspection,Production,2024-01-31,2024-03-10,Completed,False
527,1361,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2024-01-29,2024-03-25,Completed,False
528,1362,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-02-01,2024-02-23,Completed,False
529,1366,Intermittent fault not reproducible,Collect field data and repeat diagnostics,Quality Assurance,2024-01-31,2024-03-19,Completed,False
530,1369,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-02-13,2024-03-27,Completed,False
531,1370,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-02-07,2024-04-15,Completed,False
532,1371,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-02-02,2024-04-22,Completed,False
533,1373,Missing or unclear work instruction,Rewrite work instructions with photos,Quality Assurance,2024-02-05,2024-02-26,Completed,False
534,1376,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2024-02-11,2024-04-23,Completed,False
535,1378,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-02-04,2024-03-15,Completed,True
536,1385,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2024-02-16,2024-03-21,Completed,False
537,1390,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-02-20,2024-05-02,Completed,False
538,1391,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2024-02-13,2024-03-05,Completed,True
539,1394,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2024-02-17,2024-03-29,Completed,False
540,1399,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-02-16,2024-04-10,Completed,True
541,1400,Machine calibration drift,Recalibrate equipment and update process control plan,Quality Assurance,2024-02-17,2024-04-05,Completed,False
542,1401,Insufficient design margin,Raise design margin through an engineering change,Design Engineering,2024-02-14,2024-07-13,Completed,False
543,1404,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-02-17,2024-04-26,Completed,True
544,1405,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-02-15,2024-04-30,Completed,True
545,1409,Insufficient process control,Introduce statistical process control on the line,Production,2024-02-22,2024-03-25,Completed,False
546,1410,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-02-16,2024-03-11,Completed,False
547,1414,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-02-19,2024-04-13,Completed,False
548,1416,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2024-02-21,2024-03-15,Completed,False
549,1417,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-02-18,2024-04-14,Completed,True
550,1421,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2024-02-18,2024-03-30,Completed,False
551,1427,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-02-21,2024-04-06,Completed,True
552,1429,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2024-02-22,2024-04-10,Completed,False
553,1436,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-02-25,2024-05-22,Completed,False
554,1440,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-02-27,2024-04-21,Completed,False
555,1445,Operator training gap,Retrain operators and add in-line inspection,Production,2024-02-26,2024-04-22,Completed,False
556,1449,Software logic flaw,Release a software update,Design Engineering,2024-02-28,2024-07-11,Completed,True
557,1450,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-03-01,2024-04-12,Completed,False
558,1453,Non-approved modification,Add warning about modifications to warranty terms,Customer Service,2024-03-03,2024-03-15,Completed,False
559,1454,Insufficient process control,Introduce statistical process control on the line,Production,2024-03-01,2024-04-05,Completed,False
560,1456,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2024-02-28,2024-03-30,Completed,True
561,1458,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-02,2024-05-30,Completed,False
562,1460,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2024-03-02,2024-04-30,Completed,True
563,1465,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-04,2024-04-07,Completed,False
564,1466,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2024-03-02,2024-04-07,Completed,False
565,1467,Insufficient process control,Introduce statistical process control on the line,Production,2024-03-01,2024-04-30,Completed,False
566,1470,Substandard raw material,Change material specification,Supplier Quality,2024-03-05,2024-04-28,Completed,False
567,1477,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-05,2024-04-16,Completed,False
568,1482,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-03-06,2024-05-01,Completed,False
569,1486,Insufficient process control,Introduce statistical process control on the line,Production,2024-03-07,2024-04-25,Completed,True
570,1488,Substandard raw material,Change material specification,Quality Assurance,2024-03-06,2024-03-28,Completed,False
571,1492,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-03-05,2024-04-05,Completed,False
572,1493,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-03-04,2024-03-29,Completed,True
573,1495,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-06,2024-05-12,Completed,False
574,1500,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-08,2024-05-11,Completed,False
575,1502,Insufficient design margin,Raise design margin through an engineering change,Design Engineering,2024-03-10,2024-06-02,Completed,False
576,1503,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-10,2024-06-01,Completed,False
577,1505,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2024-03-10,2024-04-08,Completed,False
578,1506,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-11,2024-06-07,Completed,False
579,1508,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2024-03-12,2024-05-06,Completed,False
580,1509,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-20,2024-06-03,Completed,True
581,1512,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2024-03-12,2024-06-08,Completed,False
582,1514,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-10,2024-05-06,Completed,False
583,1516,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-15,2024-05-14,Completed,False
584,1519,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2024-03-16,2024-06-25,Completed,False
585,1520,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-14,2024-05-05,Completed,False
586,1521,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-03-14,2024-06-05,Completed,False
587,1523,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-03-11,2024-05-02,Completed,False
588,1524,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2024-03-16,2024-04-26,Completed,False
589,1526,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-11,2024-06-01,Completed,True
590,1527,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-13,2024-05-28,Completed,False
591,1528,Operator training gap,Retrain operators and add in-line inspection,Quality Assurance,2024-03-13,2024-04-25,Completed,False
592,1530,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2024-03-14,2024-04-13,Completed,False
593,1533,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2024-03-15,2024-05-08,Completed,False
594,1535,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-03-13,2024-05-02,Completed,False
595,1536,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2024-03-15,2024-04-26,Completed,False
596,1547,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-20,2024-04-26,Completed,False
597,1549,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2024-03-17,2024-04-16,Completed,True
598,1551,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2024-03-15,2024-05-09,Completed,False
599,1553,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-03-21,2024-04-05,Completed,False
600,1554,Thermal design limitation,Redesign cooling and heat protection,Design Engineering,2024-03-17,2024-06-03,Completed,False
601,1555,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-16,2024-05-11,Completed,False
602,1556,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-03-16,2024-04-27,Completed,False
603,1561,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-20,2024-05-16,Completed,False
604,1562,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-19,2024-06-13,Completed,True
605,1563,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-20,2024-06-08,Completed,False
606,1564,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-18,2024-04-24,Completed,False
607,1565,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-21,2024-06-19,Completed,True
608,1566,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2024-03-21,2024-05-09,Completed,False
609,1573,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2024-03-22,2024-05-07,Completed,True
610,1575,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-25,2024-06-20,Completed,False
611,1577,Substandard raw material,Change material specification,Quality Assurance,2024-03-21,2024-04-17,Completed,False
612,1578,Material fatigue under load,Switch to a higher grade material,Quality Assurance,2024-03-18,2024-05-08,Completed,False
613,1579,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-24,2024-06-20,Completed,True
614,1581,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-17,2024-05-18,Completed,False
615,1582,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2024-03-24,2024-05-16,Completed,False
616,1584,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-03-23,2024-04-22,Completed,False
617,1586,Non-approved modification,Add warning about modifications to warranty terms,Customer Service,2024-03-22,2024-04-07,Completed,True
618,1590,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2024-03-21,2024-05-22,Completed,True
619,1591,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2024-03-20,2024-04-10,Completed,False
620,1592,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-23,2024-05-09,Completed,True
621,1593,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2024-03-29,2024-05-13,Completed,False
622,1595,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2024-03-20,2024-04-09,Completed,True
623,1596,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-21,2024-05-11,Completed,True
624,1597,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2024-03-25,2024-05-10,Completed,False
625,1598,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-22,2024-05-03,Completed,True
626,1599,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-25,2024-05-02,Completed,False
627,1602,Software logic flaw,Release a software update,Design Engineering,2024-03-25,2024-07-23,Completed,False
628,1603,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2024-03-22,2024-04-16,Completed,True
629,1604,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-26,2024-05-19,Completed,False
630,1609,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-31,2024-06-01,Completed,False
631,1618,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-26,2024-05-14,Completed,True
632,1620,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-03-30,2024-05-21,Completed,False
633,1621,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2024-03-25,2024-06-04,Completed,True
634,1625,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-31,2024-06-24,Completed,False
635,1627,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-02,2024-05-26,Completed,False
636,1629,Substandard raw material,Change material specification,Quality Assurance,2024-04-05,2024-05-07,Completed,True
637,1630,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-03-30,2024-05-19,Completed,False
638,1632,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-06,2024-06-20,Completed,False
639,1633,Software logic flaw,Release a software update,Design Engineering,2024-04-01,2024-08-01,Completed,False
640,1634,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-04-05,2024-05-05,Completed,False
641,1636,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-01,2024-06-01,Completed,False
642,1639,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-01,2024-06-24,Completed,False
643,1640,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2024-03-31,2024-05-27,Completed,True
644,1641,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-04,2024-06-24,Completed,True
645,1643,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-04,2024-06-12,Completed,False
646,1645,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-04,2024-06-23,Completed,False
647,1646,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-03-30,2024-06-10,Completed,False
648,1647,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-01,2024-05-22,Completed,True
649,1653,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-03,2024-06-09,Completed,False
650,1654,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-08,2024-05-10,Completed,True
651,1656,Missing or unclear work instruction,Rewrite work instructions with photos,Quality Assurance,2024-04-08,2024-05-17,Completed,False
652,1657,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-03,2024-07-02,Completed,False
653,1661,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-07,2024-06-11,Completed,True
654,1663,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-08,2024-05-17,Completed,True
655,1665,Substandard raw material,Change material specification,Supplier Quality,2024-04-14,2024-05-23,Completed,True
656,1672,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-10,2024-05-25,Completed,False
657,1673,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-06,2024-06-02,Completed,True
658,1675,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2024-04-04,2024-05-18,Completed,False
659,1676,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2024-04-07,2024-05-15,Completed,True
660,1677,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-04-04,2024-05-22,Completed,False
661,1679,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-04-10,2024-05-09,Completed,False
662,1682,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-11,2024-05-13,Completed,True
663,1683,Material fatigue under load,Switch to a higher grade material,Quality Assurance,2024-04-12,2024-05-19,Completed,False
664,1684,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-10,2024-06-06,Completed,True
665,1687,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-08,2024-06-21,Completed,True
666,1689,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-08,2024-05-09,Completed,True
667,1692,Insufficient process control,Introduce statistical process control on the line,Production,2024-04-11,2024-06-01,Completed,False
668,1695,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2024-04-12,2024-05-12,Completed,False
669,1697,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-11,2024-06-27,Completed,True
670,1698,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-10,2024-07-03,Completed,False
671,1699,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-07,2024-06-30,Completed,False
672,1704,Software logic flaw,Release a software update,Design Engineering,2024-04-11,2024-07-30,Completed,False
673,1705,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-11,2024-06-10,Completed,False
674,1706,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-04-13,2024-05-13,Completed,False
675,1710,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-09,2024-07-04,Completed,True
676,1711,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-15,2024-07-01,Completed,True
677,1713,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-04-14,2024-05-27,Completed,True
678,1714,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-13,2024-05-27,Completed,True
679,1715,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-04-11,2024-05-30,Completed,False
680,1719,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2024-04-13,2024-04-29,Completed,False
681,1722,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2024-04-14,2024-06-10,Completed,False
682,1723,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2024-04-11,2024-05-29,Completed,False
683,1725,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2024-04-11,2024-05-02,Completed,False
684,1726,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-15,2024-07-07,Completed,False
685,1728,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-17,2024-06-05,Completed,False
686,1732,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-15,2024-06-02,Completed,False
687,1736,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-14,2024-06-30,Completed,False
688,1739,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-16,2024-06-21,Completed,True
689,1740,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-19,2024-05-24,Completed,False
690,1741,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-18,2024-05-30,Completed,False
691,1745,Material fatigue under load,Switch to a higher grade material,Quality Assurance,2024-04-14,2024-05-22,Completed,False
692,1751,Improper use by customer,Update owner manual and customer communication,Customer Service,2024-04-19,2024-04-29,Completed,False
693,1752,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2024-04-19,2024-05-15,Completed,False
694,1754,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-04-17,2024-05-18,Completed,False
695,1755,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2024-04-21,2024-06-12,Completed,False
696,1756,Insufficient process control,Introduce statistical process control on the line,Production,2024-04-20,2024-05-24,Completed,False
697,1758,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2024-04-21,2024-05-19,Completed,True
698,1759,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-20,2024-06-08,Completed,False
699,1761,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2024-04-22,2024-07-13,Completed,False
700,1765,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-22,2024-06-28,Completed,True
701,1766,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-19,2024-07-02,Completed,False
702,1769,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2024-04-23,2024-07-18,Completed,True
703,1771,Substandard raw material,Change material specification,Supplier Quality,2024-04-19,2024-06-11,Completed,False
704,1774,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2024-04-22,2024-06-05,Completed,True
705,1775,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2024-04-24,2024-06-13,Completed,False
706,1776,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2024-04-22,2024-06-28,Completed,True
707,1781,Insufficient design margin,Raise design margin through an engineering change,Design Engineering,2024-04-25,2024-07-09,Completed,False
